Libre Para Luchar Por Amor
QB 	Matthew Stafford
RB 	Dalvin Cook
RB 	Shane Vereen
RB/WR 	Jermaine Kearse
WR 	Will Fuller V
WR 	Mack Hollins
WR/TE 	Austin Seferian-Jenkins
TE 	Evan Engram
OP 	C.J. Beathard
LB 	Anthony Hitchens
DL 	Trey Flowers
DB 	Jordan Poyer
DP 	Danny Trevathan
DP 	Denzel Perryman
K 	Matt Bryant
BE 	Martavis Bryant
BE 	Antonio Brown
BE 	Antonio Gates
BE 	Auden Tate
BE 	Corey Grant
BE 	D.J. Chark
BE 	Devonta Freeman
BE 	Everson Griffen
BE 	Geronimo Allison
BE 	J'Mon Moore
BE 	Joe Flacco
BE 	Jordy Nelson
BE 	Kenneth Dixon
BE 	Kirk Cousins
BE 	Phillip Lindsay
BE 	Sean Davis
BE 	Tavon Austin
BE 	Terrelle Pryor
BE 	Travaris Cadet
BE 	Wesley Woodyard

Green Baywatch
QB 	Mitchell Trubisky
RB 	Chris Thompson
RB 	Chris Carson
RB/WR 	Emmanuel Sanders
WR 	Adam Thielen
WR 	Robert Woods
WR/TE 	Sammy Watkins
TE 	Zach Ertz
OP 	Pierre Garcon
LB 	Jatavis Brown
DL 	Khalil Mack
DB 	Eric Weddle
DP 	Alec Ogletree
DP 	Terrell Edmunds
K 	Graham Gano
BE 	Alshon Jeffery
BE 	Marlon Mack
BE 	Ted Ginn Jr.
BE 	Elijah Hood
BE 	Malcolm Mitchell
BE 	Austin Ekeler
BE 	Blaine Gabbert
BE 	Calvin Johnson
BE 	Chris Warren
BE 	Doug Baldwin
BE 	Eli Manning
BE 	John Kelly
BE 	Marcus Mariota
BE 	Melvin Gordon
BE 	Rashaad Penny
BE 	Rex Burkhead
BE 	Stephen Gostkowski

Amazing Race to Which Mountain?
QB 	Aaron Rodgers
RB 	Ezekiel Elliott
RB 	Tarik Cohen
RB/WR 	James White
WR 	Robby Anderson
WR 	Kelvin Benjamin
WR/TE 	John Ross
TE 	Jimmy Graham
OP 	Dak Prescott
LB 	Zach Cunningham
DL 	Adrian Clayborn
DB 	Adoree' Jackson
DP 	Jamal Agnew
DP 	Kiko Alonso
K 	Justin Tucker
BE 	Latavius Murray
BE 	Tyrell Williams
BE 	Curtis Samuel
BE 	Adam Shaheen
BE 	DeShone Kizer
BE 	Devante Mays
BE 	Bo Scarbrough
BE 	Brice Butler
BE 	Chase Edmonds
BE 	DeVante Parker
BE 	Doug Martin
BE 	Kevin White
BE 	LeSean McCoy
BE 	Luke Kuechly
BE 	Matt Ryan
BE 	Mike Evans
BE 	Patrick Ricard
BE 	Theo Riddick
BE 	Virgil Green

All My Justin Hardy Boyz
QB 	Nathan Peterman
RB 	Derrius Guice
RB 	Jaylen Samuels
RB/WR 	Courtland Sutton
WR 	Danny Amendola
WR 	Allen Lazard
WR/TE 	DJ Moore
TE 	Dallas Goedert
OP 	AJ McCarron
LB 	Jerome Baker
DL 	Arden Key
DB 	Denzel Ward
DP 	Malik Jefferson
DP 	Minkah Fitzpatrick
K 	Chandler Catanzaro
BE 	Dalton Schultz
BE 	Daurice Fountain
BE 	Deon Cain
BE 	Equanimeous St. Brown
BE 	Ian Thomas
BE 	Jordan Lasley
BE 	Josh Adams
BE 	Josh Allen
BE 	Justin Watson
BE 	Kalen Ballage
BE 	Kyle Lauletta
BE 	Mark Andrews
BE 	Mark Walton
BE 	Mason Rudolph
BE 	Michael Gallup
BE 	Mike Gesicki
BE 	Nick Chubb
BE 	Saquon Barkley
